source,target,count,amount
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,127,2442.855276
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,125,166.535219
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x243bec9256c9a3469da22103891465b47583d9f1,124,616.2502285
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,0x7727e5113d1d161373623e5f49fd568b4f543a9e,124,797.7908984
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x9c67e141c0472115aa1b98bd0088418be68fd249,123,1304.835288
0x2b5634c42055806a59e9107ed44d43c426e58258,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,118,573.7634178
0x5baeac0a0417a05733884852aa068b706967e790,0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,113,258.9917909
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,112,2887.238058
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,108,1168.308597
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,107,591.3827691
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,102,595.7056211
0xd24400ae8bfebb18ca49be86258a3c749cf46853,0x1522900b6dafac587d499a862861c0869be6e428,100,16235.17387
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,99,5005.509668
0xd24400ae8bfebb18ca49be86258a3c749cf46853,0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,97,2280.599158
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,96,464.5572214
0x243bec9256c9a3469da22103891465b47583d9f1,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,93,1903.927669
0x8271b2e8cbe29396e9563229030c89679b9470db,0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,91,235.0551079
0x5baeac0a0417a05733884852aa068b706967e790,0x7727e5113d1d161373623e5f49fd568b4f543a9e,86,456.7290196
0x32be343b94f860124dc4fee278fdcbd38c102d88,0x243bec9256c9a3469da22103891465b47583d9f1,83,313.5277018
0xd24400ae8bfebb18ca49be86258a3c749cf46853,0x96fc4553a00c117c5b0bed950dd625d1c16dc894,79,255.3669245
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x390de26d772d2e2005c6d1d24afc902bae37a4bb,76,1176.261733
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0x7727e5113d1d161373623e5f49fd568b4f543a9e,73,185.7361814
0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,0x7727e5113d1d161373623e5f49fd568b4f543a9e,71,448.7715636
0xe03c23519e18d64f144d2800e30e81b0065c48b5,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,71,168.7214671
0x32be343b94f860124dc4fee278fdcbd38c102d88,0x96fc4553a00c117c5b0bed950dd625d1c16dc894,70,304.0526132
0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,0x8271b2e8cbe29396e9563229030c89679b9470db,69,362.3479595
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,69,440.0353668
0x8271b2e8cbe29396e9563229030c89679b9470db,0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,67,532.2685249
0x243bec9256c9a3469da22103891465b47583d9f1,0x7727e5113d1d161373623e5f49fd568b4f543a9e,66,947.4519979
0x243bec9256c9a3469da22103891465b47583d9f1,0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,64,486.8175004
0x8271b2e8cbe29396e9563229030c89679b9470db,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,62,241.3882128
0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,0x8271b2e8cbe29396e9563229030c89679b9470db,62,261.1533784
0x1522900b6dafac587d499a862861c0869be6e428,0x243bec9256c9a3469da22103891465b47583d9f1,61,115.3506879
0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,0xfa52274dd61e1643d2205169732f29114bc240b3,61,126.2185084
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,0x8271b2e8cbe29396e9563229030c89679b9470db,60,138.992173
0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,0x243bec9256c9a3469da22103891465b47583d9f1,59,80.29170769
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0x96fc4553a00c117c5b0bed950dd625d1c16dc894,59,115.4013425
0x8271b2e8cbe29396e9563229030c89679b9470db,0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,59,740.9663663
0x8271b2e8cbe29396e9563229030c89679b9470db,0x9c67e141c0472115aa1b98bd0088418be68fd249,59,330.776836
0xe03c23519e18d64f144d2800e30e81b0065c48b5,0x8271b2e8cbe29396e9563229030c89679b9470db,56,158.1318354
0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,0x243bec9256c9a3469da22103891465b47583d9f1,56,148.4309467
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,55,168.7516576
0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,54,222.3914559
0xd94c9ff168dc6aebf9b6cc86deff54f3fb0afc33,0x7727e5113d1d161373623e5f49fd568b4f543a9e,54,1775.074331
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,0x96fc4553a00c117c5b0bed950dd625d1c16dc894,53,79.97098112
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,52,3872.130381
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x1522900b6dafac587d499a862861c0869be6e428,52,529.2035511
0x8271b2e8cbe29396e9563229030c89679b9470db,0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,52,258.8195923
0x5baeac0a0417a05733884852aa068b706967e790,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,51,371.9004397
0x9c67e141c0472115aa1b98bd0088418be68fd249,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,51,369.6594882
0x32be343b94f860124dc4fee278fdcbd38c102d88,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,50,1778.340705
0x243bec9256c9a3469da22103891465b47583d9f1,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,48,568.8048625
0x1522900b6dafac587d499a862861c0869be6e428,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,46,101.9758323
0x243bec9256c9a3469da22103891465b47583d9f1,0xfa52274dd61e1643d2205169732f29114bc240b3,46,402.3658959
0x5baeac0a0417a05733884852aa068b706967e790,0x8271b2e8cbe29396e9563229030c89679b9470db,46,148.8189327
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x96fc4553a00c117c5b0bed950dd625d1c16dc894,45,160.2518131
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,0xfa52274dd61e1643d2205169732f29114bc240b3,45,143.5637051
0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,44,3763.090156
0xd3273eba07248020bf98a8b560ec1576a612102f,0x96fc4553a00c117c5b0bed950dd625d1c16dc894,44,43.56454064
0x243bec9256c9a3469da22103891465b47583d9f1,0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,43,62.53929164
0x563b377a956c80d77a7c613a9343699ad6123911,0x96fc4553a00c117c5b0bed950dd625d1c16dc894,43,71.04791418
0x96fc4553a00c117c5b0bed950dd625d1c16dc894,0xfa52274dd61e1643d2205169732f29114bc240b3,43,133.8691621
0x2b5634c42055806a59e9107ed44d43c426e58258,0x7727e5113d1d161373623e5f49fd568b4f543a9e,42,232.2426903
0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,40,1876.930111
0xd24400ae8bfebb18ca49be86258a3c749cf46853,0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,40,105.7476217
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0x243bec9256c9a3469da22103891465b47583d9f1,39,191.6009484
0x2b5634c42055806a59e9107ed44d43c426e58258,0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,39,142.7930781
0x9c67e141c0472115aa1b98bd0088418be68fd249,0x8271b2e8cbe29396e9563229030c89679b9470db,38,680.8087704
0x8271b2e8cbe29396e9563229030c89679b9470db,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,37,1192.63241
0xe03c23519e18d64f144d2800e30e81b0065c48b5,0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,37,37.1382436
0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,0x8271b2e8cbe29396e9563229030c89679b9470db,36,182.5847889
0xd94c9ff168dc6aebf9b6cc86deff54f3fb0afc33,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,35,375.2374154
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0x9c67e141c0472115aa1b98bd0088418be68fd249,34,233.363274
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,34,1015.375428
0x5baeac0a0417a05733884852aa068b706967e790,0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,34,83.76627645
0x5baeac0a0417a05733884852aa068b706967e790,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,34,30.2873435
0x8271b2e8cbe29396e9563229030c89679b9470db,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,34,1160.087449
0x1522900b6dafac587d499a862861c0869be6e428,0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,33,15964.38702
0x32be343b94f860124dc4fee278fdcbd38c102d88,0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,33,724.0623312
0x5baeac0a0417a05733884852aa068b706967e790,0xfa52274dd61e1643d2205169732f29114bc240b3,33,136.7485089
0x1522900b6dafac587d499a862861c0869be6e428,0x96fc4553a00c117c5b0bed950dd625d1c16dc894,32,44.10870105
0x243bec9256c9a3469da22103891465b47583d9f1,0x8271b2e8cbe29396e9563229030c89679b9470db,32,78.14157877
0x32be343b94f860124dc4fee278fdcbd38c102d88,0x390de26d772d2e2005c6d1d24afc902bae37a4bb,32,448.4013604
