co_miners,pool_name
0x52194ba120ca769bc876ef28374949fca854d1f8,twethpool
0xf4c298c5bbeced07968b0644a37798639d684855,twethpool
0x21cecb176783271388a58afb3b387a970de1d1d9,twethpool
0x80fd2707f661b3de47b3b0d523551d9f1e82fdc6,twethpool
0x72919b92f7f49360f6b08a9d51785617f8a9f669,twethpool
0x9cc79706541a5209291d005769105d08d8c333fd,twethpool
0x9c05295ad2cee06d40f683fa32053e477cad1f6d,twethpool
0xc0e899fb70672c0598f040265fb2d70ca139f379,twethpool
0xe2895ab73f9bc01983549ec0284f8d0f42e6f4b8,twethpool
0x907e4bff8bbac9134ae7dc14cff94c990083fe58,twethpool
0x44ca4f03e87889c6393254dda2a4a92a2c92022b,twethpool
0x37e5c292a819726500dae75f7a0f89b83039bb21,twethpool
0xd910059a054cffd4c2a0ae8a213584bd072983fb,twethpool
0xbe38b961fac44d95bfc2f87526a8ed3d596de107,twethpool
0xffc639ee17a90f1b722186518ed0c2498a4b3cde,twethpool
0xa497736175c35b5c4bb326a44afd359302fce1ba,twethpool
0x050ecdaaa519d582e8fc7890a4a7435f4a3caf19,twethpool
0x4a7216ed149f884a6ac91c47c8105cc8875105be,twethpool
0xe49b96c31fa9b540951069f9f55d256656b50777,twethpool
0x2bdcbe70e8207929d687dca33431d5953cac612c,twethpool
0x7f8097c6e6a363a54a7733b5c9cb4d825087154c,twethpool
0x6e593d03926ef98bd9f46236d25238c275f8a839,twethpool
0xfd8579ea81308033d97b5f8f1352689ccfd34d14,twethpool
0xf218f4846e2a5cbdda330d8fea7f9ac01757a869,twethpool
0xc6a8bef9c1cd6370f4c41f62af7e126c581e0d89,twethpool
0x03d8f39eb36a02b777711c47d84cd5788dfb761d,twethpool
0x0478b07c45555bf7e052be73d775209b0ea38cd1,twethpool
0xa38474fe682d7fbfb95882913c2c0abbdbc1100d,twethpool
0xaaaae0e4264f3fdb832695b45bcd030a5001fb36,twethpool
0x8261630179c06f775261ece135e59215387d3fa4,twethpool
0xb4dea7518c6b5ec47656d3d000137dc7e2d8c3c4,twethpool
0x6e4cf5943cccfdf70676496f907ab72ca2f6ca44,twethpool
0x807b3c35c6ff5701cbe168665646fba15562daf2,twethpool
0x5c0a6a5ad8dccd459614b83b8d92a8bd43c93b52,twethpool
0x87ce86f7cc8944742b1adaa8d968962d5cce889a,twethpool
0xd4abe23c771ec101066cd66517175b9cf1eb61ca,twethpool
0x1562fff2a64e59a3fbe9fbff47345cc23b8cfe1c,twethpool
0x23a0160650334b44ff7929c300d4fc98d014d81c,twethpool
0x906afc6fd4b88ffdfee9163d0ae6e0abef995bfa,twethpool
0x3db56ff7c0f5bd33dabde1194504ee9517e4cebc,twethpool
0x1a8ea8b33887ea9defde907b183b3519f97388f4,twethpool
0x7da2f3af206ee03b515deb847bbd96cf1b139e6d,twethpool
0xe1d11e6a38f3ae860f5b23e65e277dc0cdae5e59,twethpool
0x0080cc09227a570ae8b1a63a0dd7336bdf781b7a,twethpool
0x5ca412cf4be8cc03bf24dc1a89c937c8863adc43,twethpool
0x8f2442b8878dfe1d8896d35f2d5412cb3af15927,twethpool
0x1a61dbd741481ca6d881f208e049b86025b4caf1,twethpool
0x806e6e8e8320161dbf3ab5986bc5142306fd5652,twethpool
0x8eebe6b37a8696c50addc3db00781ccbc9c3dcf3,twethpool
0xd2e56bb5a6bd033bcdfc0c6f9e7b9280ca008c5a,twethpool
0xed61978bed7f6a256205a885db5d37714fea3e71,twethpool
0xa3cbdcdf29ac73abaf754f7da807b92b5afbd75d,twethpool
0x638557c55f5153edce17e7a5d69ee3b2aa5e15ea,twethpool
0x789bd4dcd2ce55c4a3397c66fb850e30277e4e5a,twethpool
0x4f5668cefe515ec203d5baec2609547aef64c400,twethpool
0x84857d4f4634f25c238cb7178fd97b0ede004716,twethpool
0x82f87fb0ecc38311a0d91d0b2dda07ffc230e383,twethpool
0xdeabc5a38a529d9ef6ee9c99d0ff34f800d9189c,twethpool
0x207ba7fcddb15b7d39951820ef1d621247b132c3,twethpool
0x138a43f5bc1edaa7a67f6bbbf6475601fc7a6aa3,twethpool
0x9c4ce1edd0ae5a213942f9dc4bc98746158aa441,twethpool
0x3ae123690d6f642a9e2756efc4775cd0fa412cf8,twethpool
0x0f1f6b89f63e9ad479de15b41eda5cb1e7212509,twethpool
0x2b5ae57c7c9de6a027db00470b171c527c536541,twethpool
0xd247bcc1dbd1c2ee2c07fdc33a460e8cfa6ece8c,twethpool
0x0bec1dcbd87d42787842b0d1f01ebe5d5268319c,twethpool
0x86b9a0f7d04b46a39900ec2ed48bcb36f0ee508c,twethpool
0x64b5c29dc865d930cd9cdf444bf1895d606989d7,twethpool
0xe33b0ecc5a666e7bfed9602d512eaef776eafd78,twethpool
0x427aad6710f859016288d0fa978904dae7495d22,twethpool
0xa728f36c229f1ce7f3268c8105ac3dbcce852d7b,twethpool
0x656388c243e21028bc22d15e601b808767b2742e,twethpool
0xa6a3c9088dd3d6b7a7a774954648a43576ff15ff,twethpool
0x0a3bd725516610b1c2c4781bcc833da6442bdeec,twethpool
0x29aae8c4bb1ef0625a3de20bc9655b47d6436db6,twethpool
0x6b01dc78613b64b2fc64384f32944be65ac240c8,twethpool
0x38df397b1f4559a8085d8be39d8a6e3155de9afe,twethpool
0xbc7ca662dcb51bd0824aa4678f4bd3ba4fa2bbfc,twethpool
0x3eab100e48cbb5a58e3897fff24ed7acb17e151a,twethpool
0xb152f102056e8fb8a80b799d64381af28e5f17d7,twethpool
0x7507bfe4fbdc49dbbcb84ebe29ad9918df74992d,twethpool
0x8e7acf768d7c5a041d7d2e123a44ac0a95583187,twethpool
0x6de90e57c034ce5db343b1937a9174383e8e0c79,twethpool
0xec78086e704daca580117859b95d5e7ff85ff719,twethpool
0x98cd4f7ed87f39c7553fbe008c600c4d20d946df,twethpool
0xe56fa4b1789bde82465b33f836e0c9ac1b92fb8a,twethpool
0x546b69d81cd0219f5794b665b6f00c4d4c827fc6,twethpool
0x85bef0fbbca5323b6f30baa60318f7d515b56708,twethpool
0x83f7909165d913b1fc2e76f3a7eaf901b22d8369,twethpool
0x8b3bd5233c74762de5ba0f0a6bfd8b2682861e09,twethpool
0x615f008342747a052634a939c6829e480bfbe99b,twethpool
0xcac5f900e51d86a1c994f0e935fa26cb834ad210,twethpool
0x19c5ba53fc618f5803d15a43ecf65be36edf2915,twethpool
0x94d03700fab420e4a71d92821f5cdde1a1e5c9d7,twethpool
0x463054f34c7daec094547b8752afb36e18bb1cca,twethpool
0xc0af893f9b48631d3d13d51fc27d5a528cf77576,twethpool
0xe06b938ce8f17b73a21b7c80a6cf6f3a0be7b33c,twethpool
0xf62fcc1bc78ff88abd21e45c8e2c2ad7a71c9b0f,twethpool
0x53c8f2b116120484d64cf6ebb110307f8d739c8f,twethpool
0x8b212535240df395702270e7cffc40113c7d2bdf,twethpool
0xe2d2ecf35b1c42af6b337a6f59546e27886e2b12,twethpool
0xfdd1432f3ebecc410ddf202bb3e22c976d2864c2,twethpool
0x4132440e9f05341b50bc86e7b2c709259d4c9f0f,twethpool
0x86c2f0fa12a9fbdc433676b577432be72a2a617c,twethpool
0x4ee9916a80c6477ccfc013f910aac96b4d16970e,twethpool
0x898e445eb372596a44dbdfc38b8fe0b8c6c35140,twethpool
0xcfe54e5e7be037616eb9ee2d42c23172df039f98,twethpool
0x7d55f582e633eab5e3760d239ef49c5d854783aa,twethpool
0x51da98dcd7c40e4d0a6ecc8e652de7ad97aff9a1,twethpool
0x8a77fdae9de67c4794d2a85d56ebd1d34848eda9,twethpool
0x4b93394834ee367d9dfa8f61ec47d5d31546b5e1,twethpool
0x47f1b801677e140e92c581dbd3043902f0f9b98b,twethpool
0x49882b586f2850e81093552cdaceed051ab2e506,twethpool
0xb3bd2a8d1436bcb76b1efde05a1c3c07c008de03,twethpool
0x5f3f8ef8d3c32b5062ac31c49d081791d9c45581,twethpool
0x870cbc43897191999a961f581d5cc3bdf64fb98b,twethpool
0x03265eb6e7f6510576fa69e02619a9cb438b6ddd,twethpool
0x86d1eda07f448eda743ca20486c5fb2743674053,twethpool
0xcf8fdb6303308fa4269237286a32542dc6576181,twethpool
0x57c1eca2f53286ee63ad40a89386344dab3d9188,twethpool
0x1fe9ce9269c1d76eece5564e875eccac9984cf7d,twethpool
0x5153e0c39dcfa364f26a9583e5b565649cc92f22,twethpool
0xea157fd59e3997aa2eb85b32dfdaf70b6d6ca415,twethpool
0x049c97225389da745c9d616b09079a1f6dfa0409,twethpool
0xcb5fbcd65f48bb72314717e7da34101c264bf54f,twethpool
0xc51b76927b14b5fdd68a873f4720796bd9ebf35b,twethpool
0x4a80f94a632e24b73625c781d1cc823db4a5708f,twethpool
0x222b91479b679c7c5d21e5d7a0af89c69bdb1390,twethpool
0x58135081109d755dc994b5a614fe8c5aa910a732,twethpool
0x7be2ff183494d4f4cbd85a8bcb8960c3efd7e7ce,twethpool
0x696507cd17fd55500039a76a437e2d44c57b50cb,twethpool
0xa1971e5e6b5bef169950b8b2d2d4917bf21b8f9d,twethpool
0x1a1b880919ae037e819bc25e61243f00b00b96b7,twethpool
0x9b2451a18293cadd6067d8347f2b5fa03e2b6546,twethpool
0xf58adcb619658e9d0ec4aa9d7625a99cac6e9dab,twethpool
0xdb4066e45845c9eeac394210828e6f396a4054d9,twethpool
0x2456b285d03885c65c008567f2ce21b203cb5bc3,twethpool
0xd9581921caf74e0542b980d476f6dabbab452165,twethpool
0xa59a7a24efb42953ebd0a6f6fceee5f007338c47,twethpool
0xe9ddd909bf5dd8f39291248dd2c3dfeb05e110c7,twethpool
0xec3ccdcdadd0c5fd908329d8915e24ba274bcba5,twethpool
